nome_curso,nome_aluno,media_global,matricula,cpf,status,tipo_desconto,valor_desconto,nome_departamento,semestre_atual
Data Science,Rael Costa,8.89,1088279,29749917090,Inativo,Bolsa Mérito,50.9,Escola de Tecnologia,2
Data Science,Raquel Abreu,9.99,1087601,5331763652,Inativo,Bolsa Mérito,92.6,Escola de Tecnologia,5
Data Science,Gustavo Vargas,6.71,1088114,96068801563,Inativo,Bolsa Parcial,28.2,Escola de Tecnologia,2
Data Science,Vitória Nogueira,7.18,1087685,83807946980,Matriculado,Bolsa Parcial,27.8,Escola de Tecnologia,8
Data Science,Milena Gomes,8.49,1089452,8433545647,Inativo,Bolsa Mérito,52.4,Escola de Tecnologia,1
Data Science,Ravi Lucca Siqueira,8.85,1086644,62054900552,Matriculado,Bolsa Mérito,85.8,Escola de Tecnologia,1
Data Science,Enrico Pastor,8.03,1087847,6150577554,Inativo,Bolsa Mérito,94.4,Escola de Tecnologia,5
Data Science,Thiago Pacheco,6.2,1086725,10232787024,Inativo,Bolsa Parcial,32.7,Escola de Tecnologia,4
Data Science,Joaquim Vieira,6.31,1086170,3163433918,Inativo,Bolsa Parcial,33.0,Escola de Tecnologia,6
Data Science,Luiz Felipe Pastor,6.48,1087292,76635591549,Matriculado,Bolsa Parcial,41.6,Escola de Tecnologia,7
Data Science,Antônio Guerra,8.85,1087832,50040124992,Inativo,Bolsa Mérito,51.2,Escola de Tecnologia,2
Data Science,Anthony Silva,9.32,1088480,38806526261,Inativo,Bolsa Mérito,54.7,Escola de Tecnologia,7
Data Science,Milena Gonçalves,9.03,1086020,61980301562,Inativo,Bolsa Mérito,65.4,Escola de Tecnologia,1
Data Science,Gael Marques,7.98,1088561,12667507170,Inativo,Bolsa Parcial,21.3,Escola de Tecnologia,4
Data Science,Antônio Guerra,6.02,1087304,58889120105,Inativo,Bolsa Parcial,43.3,Escola de Tecnologia,3
Data Science,Luiza Vargas,6.02,1087373,97206065838,Inativo,Bolsa Parcial,28.6,Escola de Tecnologia,7
Data Science,Ana Júlia Rezende,7.83,1086332,25410455325,Matriculado,Bolsa Parcial,35.3,Escola de Tecnologia,5
Data Science,Rafael Nogueira,9.65,1089764,65031956136,Matriculado,Bolsa Mérito,60.0,Escola de Tecnologia,7
Data Science,Maria Helena Freitas,8.88,1089005,40346051820,Matriculado,Bolsa Mérito,61.7,Escola de Tecnologia,1
Data Science,Isaac Moura,6.67,1086710,19208211007,Inativo,Bolsa Parcial,30.1,Escola de Tecnologia,5
Data Science,Cauê Moura,6.85,1086509,40009709398,Inativo,Bolsa Parcial,43.0,Escola de Tecnologia,1
Data Science,Henrique Ribeiro,6.99,1087454,30251681739,Inativo,Bolsa Parcial,40.5,Escola de Tecnologia,4
Data Science,Mirella Santos,8.78,1088198,20344009313,Inativo,Bolsa Mérito,88.1,Escola de Tecnologia,8
Data Science,Emanuella Barbosa,6.9,1086266,62052498766,Inativo,Bolsa Parcial,31.2,Escola de Tecnologia,8
Data Science,Rebeca Albuquerque,9.68,1087388,63427156791,Inativo,Bolsa Mérito,74.9,Escola de Tecnologia,5
Data Science,Clarice Cirino,8.65,1089926,66965943078,Matriculado,Bolsa Mérito,92.9,Escola de Tecnologia,8
Data Science,Beatriz Santos,9.92,1087913,79968759197,Inativo,Bolsa Mérito,99.5,Escola de Tecnologia,2
Data Science,Maria Vitória Andrade,7.03,1088969,82889876444,Inativo,Bolsa Parcial,44.0,Escola de Tecnologia,1
Data Science,Breno Silveira,7.78,1086563,70351605012,Matriculado,Bolsa Parcial,31.6,Escola de Tecnologia,4
Data Science,Lucca Mendes,8.49,1089995,61303231752,Matriculado,Bolsa Mérito,64.2,Escola de Tecnologia,2
Data Science,Olívia Pimenta,8.61,1087076,91575151839,Inativo,Bolsa Mérito,60.2,Escola de Tecnologia,1
Data Science,Kaique da Cunha,8.77,1088426,35098726850,Inativo,Bolsa Mérito,91.5,Escola de Tecnologia,6
Data Science,Laura Caldeira,9.54,1090058,43801651345,Inativo,Bolsa Mérito,50.7,Escola de Tecnologia,8
