nome_professor,cpf,matricula,nome_departamento,semestre_atual, ,media_global,media_global_professor
Antonella Teixeira,35922080222,93042552,Escola de Tecnologia,1,,8.03510148849797,8.0
Gael Henrique Peixoto,83243719908,6409053,Escola de Tecnologia,4,,7.961030927835051,7.98
Samuel Pimenta,35858630605,2011112,Ciências Biológicas,1,,8.009375,8.01
Maria Clara Mendes,61748898096,2011105,Ciências Biológicas,9,,,
Antônio Melo,37642286940,2011103,Ciências Biológicas,8,,7.936876155268023,7.94
Luiz Felipe Guerra,34217871775,2011113,Ciências Biológicas,8,,7.936876155268023,7.94
João Felipe Cavalcante,15256206025,2011106,Ciências Biológicas,6,,7.952380038387715,7.95
Mateus Novais,5530445557,2011108,Ciências Biológicas,6,,7.952380038387715,7.95
Stella Cavalcante,40250038912,2011102,Ciências Biológicas,8,,7.936876155268023,7.94
Danilo Montenegro,83704290795,2011115,Ciências Biológicas,3,,8.033939393939393,8.03
Pedro Henrique Melo,34056231360,2011110,Ciências Biológicas,3,,8.033939393939393,8.03
Mariane Sampaio,37763114752,2011111,Ciências Biológicas,9,,,8.03
Joana da Luz,12573612555,74689660,Escola de Saúde,6,,8.010923566878981,8.0
Ryan Cavalcante,6676441669,75804842,Escola de Tecnologia,2,,8.004819112627986,8.02
Carlos Eduardo Gomes,63567218449,2009281,Escola de Saúde,1,,8.011402095084609,8.01
Sara Rezende,45405530685,2009284,Escola de Saúde,1,,8.011402095084609,7.99
Melina Araújo,25223816984,2009278,Escola de Saúde,7,,8.009608006672227,8.01
Nathan Barros,6560428074,76552734,Escola de Saúde,8,,7.959191353082466,7.99
Pedro Lucas Mendes,63918103114,2009282,Escola de Saúde,3,,8.003683774834437,8.0
Cauã Oliveira,99490966463,2009280,Escola de Saúde,7,,8.009608006672227,8.01
Otávio Oliveira,19567662145,2012745,Ciências Biológicas,4,,7.924395393474088,7.92
Pedro Miguel da Conceição,94230242390,2012747,Ciências Biológicas,7,,8.032611464968154,8.03
Joana Novaes,14554524752,2012746,Ciências Biológicas,4,,7.924395393474088,7.92
Maria Flor Costa,67496723768,2012755,Ciências Biológicas,4,,7.924395393474088,7.92
Luara Viana,82033711833,2012753,Ciências Biológicas,1,,8.009375,8.02
Rafael Sá,82197545390,2012756,Ciências Biológicas,3,,8.033939393939393,8.03
Emanuelly Peixoto,78336410813,2012758,Ciências Biológicas,4,,7.924395393474088,7.92
Joaquim Nunes,48538779777,2012752,Ciências Biológicas,4,,7.924395393474088,7.92
Nina Pinto,7575147076,2012748,Ciências Biológicas,7,,8.032611464968154,8.03
Léo Moreira,8975668959,2012754,Ciências Biológicas,7,,8.032611464968154,8.03
Agatha das Neves,149508085,2012749,Ciências Biológicas,5,,7.973406193078324,7.97
Benjamin Vargas,4176378230,2002516,Escola de Tecnologia,7,,8.030921933085502,8.03
Maria Luiza Moraes,69468984948,2002515,Escola de Tecnologia,6,,8.016576576576577,8.02
Luigi Pinto,84082361232,2002514,Escola de Tecnologia,7,,8.030921933085502,8.03
João Vitor Souza,64386832520,2002513,Escola de Tecnologia,6,,8.016576576576577,8.02
Anthony Gabriel Moraes,2325882679,85602293,Escola de Tecnologia,7,,8.030921933085502,7.99
Caio Cunha,4783514216,2002511,Escola de Tecnologia,9,,,
Pedro Novaes,22958422263,2002518,Escola de Tecnologia,1,,8.03510148849797,8.04
Asafe Ribeiro,20148571300,22971361,Ciências Biológicas,8,,7.936876155268023,7.95
Isabela Sales,87490898374,91083472,Escola de Saúde,5,,7.945814345991562,7.97
Antonella Farias,77537276831,2002692,Escola de Tecnologia,6,,8.016576576576577,8.02
Larissa Vieira,95443957812,2002691,Escola de Tecnologia,6,,8.016576576576577,8.02
Ágatha Sampaio,93990545983,75334446,Escola de Tecnologia,9,,,8.0
Ravi Lucca Campos,94120406766,2002694,Escola de Tecnologia,5,,8.034368998628258,8.03
Zoe da Rosa,32438473111,62608497,Escola de Tecnologia,9,,,7.97
Davi Lucas Rios,10178222257,2002689,Escola de Tecnologia,2,,8.004819112627986,8.0
Sarah Silveira,91245668711,64196101,Escola de Tecnologia,4,,7.961030927835051,7.98
Maria Clara da Conceição,26928969499,2010333,Ciências Biológicas,2,,8.097638095238096,8.1
Ana Carolina Sá,84163417838,2010344,Ciências Biológicas,2,,8.097638095238096,8.04
Léo Silveira,92730391522,2010340,Ciências Biológicas,6,,7.952380038387715,7.95
Stella Dias,55135107740,2010338,Ciências Biológicas,9,,,
João Vitor Câmara,32043975827,2010334,Ciências Biológicas,7,,8.032611464968154,8.03
Ágatha Costa,61706320682,17564864,Ciências Biológicas,4,,7.924395393474088,7.96
Arthur Fonseca,54146021512,2010346,Ciências Biológicas,9,,,
Gael Pacheco,53917340069,2010345,Ciências Biológicas,3,,8.033939393939393,8.03
Sophie Leão,48122135259,2010342,Ciências Biológicas,2,,8.097638095238096,8.1
Mateus Caldeira,26418386352,2010336,Ciências Biológicas,1,,8.009375,8.01
